Name,Tankathon,ESPN,CBS,Ringer,RookieScale
Nikola Topić,1,10,8,11,12
Reed Sheppard,2,4,3,4,4
Zaccharie Risacher,3,1,2,8,2
Alexandre Sarr,4,2,1,7,1
Matas Buzelis,5,5,9,3,6
Stephon Castle,6,6,5,1,5
Donovan Clingan,7,3,4,2,3
Dalton Knecht,8,7,6,9,7
Rob Dillingham,9,8,7,10,10
Ron Holland,10,13,10,13,13
Tidjane Salaun,11,9,15,6,9
Cody Williams,12,11,11,12,8
Devin Carter,13,12,12,5,11
Jared McCain,14,15,14,14,15
Ja'Kobe Walter,15,14,18,16,14
Tristan da Silva,16,17,24,22,16
Kyle Filipowski,17,21,16,30,24
Johnny Furphy,18,18,25,29,23
Kel'el Ware,19,24,27,20,19
Isaiah Collier,20,23,13,19,21
Terrence Shannon Jr.,21,26,33,23,31
Yves Missi,22,22,19,25,22
Tyler Smith,23,34,21,27,28
Tyler Kolek,24,25,26,21,25
DaRon Holmes II,25,38,20,32,27
Zach Edey,26,16,23,15,17
Kyshawn George,27,20,29,34,20
Bobi Klintman,28,29,32,18,30
Baylor Scheierman,29,27,28,31,29
Carlton Carrington,30,19,17,17,18
Jaylon Tyson,31,31,31,33,32
Pacome Dadiet,32,30,37,26,33
Ryan Dunn,33,28,22,36,26
Kevin McCullar,34,37,39,41,34
Juan Núñez,35,36,48,46,43
AJ Johnson,36,35,46,56,38
Ajay Mitchell,37,41,52,50,42
Cam Christie,38,32,40,43,36
Jonathan Mogbo,39,40,44,39,41
Oso Ighodaro,40,58,51,45,48
Justin Edwards,41,39,30,49,37
Nikola Djurisic,42,50,49,24,40
Dillon Jones,43,51,34,59,47
Adem Bona,44,33,43,38,35
KJ Simpson,45,52,35,35,45
Pelle Larsson,46,45,60,51,46
Jamal Shead,47,46,41,54,44
Harrison Ingram,48,44,36,42,39
Jaylen Wells,49,47,54,44,50
Trey Alexander,50,62,38,,55
Keshad Johnson,51,49,47,52,51
Melvin Ajinca,52,48,53,40,49
Cam Spencer,53,42,59,37,57
Jalen Bridges,54,53,50,47,54
Ulrich Chomche,55,43,63,48,53
Isaiah Crawford,56,67,69,,67
Tristen Newton,57,66,42,57,59
Antonio Reeves,58,54,56,,62
PJ Hall,59,61,45,60,56
Trentyn Flowers,60,56,61,28,58
Enrique Freeman,61,57,58,,61
Quinten Post,62,60,66,55,72
Isaac Jones,63,59,57,,66
Ariel Hukporti,64,63,64,,64
Reece Beekman,65,70,65,61,60
N'Faly Dante,66,68,62,,65
Judah Mintz,67,81,67,62,63
Bronny James,68,55,55,58,52
Mantas Rubstavicius,69,64,,,68
