Name,Year,Draft Team,Pick,Team,Position,Height,Wingspan,Weight,Draft Age,Birthdate,Nation,G,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,STL,TO,PF,PTS,TS%,eFG%,3PAr,FTAr,USG%,AST/USG,AST/TO,PER,OWS/40,DWS/40,WS/40,OBPM,DBPM,BPM
Dwight Howard,2004,ORL,1,SACA,C,82.25,88.5,240,18.52,"Dec 8, 1985",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Okafor,2004,CHA,2,UConn,C,82.0,88.0,257,21.71,"Sep 28, 1982",USA,36.0,32.4,8.1,13.5,0.599,0.0,0.0,0.0,3.5,6.7,0.518,12.8,1.1,4.5,1.1,2.6,2.6,19.6,0.588,0.599,0.0,0.5,25.1,0.24,0.43,0.0,0.127,0.213,0.34,,,
Ben Gordon,2004,CHI,3,UConn,SG,74.25,80.5,192,21.2,"Apr 4, 1983",USA,39.0,34.5,6.4,14.7,0.434,2.8,6.4,0.433,3.8,4.5,0.829,4.9,4.7,0.2,1.4,2.9,2.4,19.3,0.572,0.528,0.436,0.309,25.8,0.91,1.63,0.0,0.116,0.092,0.208,,,
Shaun Livingston,2004,LAC,4,Peoria High School,PG,79.5,83.0,186,18.76,"Sep 11, 1985",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Harris,2004,DAL,5,Wisconsin,PG,75.0,79.5,170,21.3,"Feb 27, 1983",USA,32.0,36.3,5.9,12.8,0.459,2.3,6.2,0.373,5.3,6.7,0.792,4.3,4.4,0.1,1.7,2.0,1.9,19.3,0.606,0.55,0.488,0.524,27.6,1.04,2.14,0.0,0.165,0.103,0.269,,,
Josh Childress,2004,ATL,6,Stanford,SG/SF,79.25,83.0,196,20.99,"Jun 20, 1983",USA,23.0,29.8,6.5,13.3,0.488,1.8,4.5,0.395,4.1,5.0,0.821,9.1,3.2,1.9,1.1,2.7,2.8,18.9,0.602,0.555,0.339,0.374,25.8,0.72,1.2,0.0,0.146,0.158,0.298,,,
Luol Deng,2004,CHI,7,Duke,SF,80.0,84.5,220,19.16,"Apr 16, 1985",South Sudan,37.0,31.1,6.6,13.8,0.476,1.3,3.5,0.36,3.1,4.3,0.71,8.0,2.1,1.2,1.5,2.6,2.6,17.5,0.551,0.522,0.252,0.313,24.7,0.48,0.82,0.0,0.084,0.111,0.195,,,
Rafael Araújo,2004,TOR,8,BYU,C,83.0,,280,23.84,"Aug 12, 1980",Brazil,30.0,29.8,8.5,14.8,0.573,0.3,1.2,0.267,4.9,6.8,0.722,12.2,1.5,1.0,1.7,3.5,3.8,22.2,0.616,0.584,0.082,0.459,31.2,0.33,0.43,0.0,0.174,0.094,0.268,,,
Andre Iguodala,2004,PHI,9,Arizona,SF,78.75,83.0,217,20.38,"Jan 28, 1984",USA,30.0,32.1,5.1,11.3,0.45,0.9,2.7,0.315,3.5,4.4,0.788,9.5,5.5,0.4,1.8,3.1,2.8,14.5,0.542,0.488,0.242,0.391,20.4,1.16,1.77,0.0,0.058,0.062,0.125,,,
Luke Jackson,2004,CLE,10,Oregon,SF,79.0,80.5,212,22.61,"Nov 6, 1981",USA,31.0,34.6,7.1,14.4,0.488,2.5,5.6,0.44,5.5,6.3,0.862,7.5,4.7,0.2,1.3,3.1,1.8,22.0,0.631,0.573,0.386,0.44,,,1.49,,,,,,,
Andris Biedrins,2004,GS,11,Skonto (Latvia),C,84.0,,225,18.2,"Apr 2, 1986",Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Swift,2004,OKC,12,Bakersfield HS,C,84.0,,245,18.53,"Dec 3, 1985",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Telfair,2004,POR,13,Lincoln High School,PG,72.0,,165,19.02,"Jun 9, 1985",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kris Humphries,2004,UTA,14,Minnesota,PF,81.5,84.5,238,19.35,"Feb 6, 1985",USA,29.0,34.1,8.0,18.1,0.444,0.6,1.8,0.34,6.2,8.3,0.742,10.7,0.7,1.2,1.0,3.0,2.4,22.9,0.518,0.461,0.1,0.46,34.6,0.15,0.24,0.0,0.073,0.069,0.141,,,
Al Jefferson,2004,BOS,15,Prentiss High School,PF/C,81.75,86.5,263,19.44,"Jan 4, 1985",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk Snyder,2004,UTA,16,Nevada,SG,78.75,81.0,228,21.03,"Jun 5, 1983",USA,34.0,31.7,7.0,16.2,0.431,1.8,5.2,0.348,5.5,7.6,0.731,6.5,3.9,0.7,1.2,4.0,2.4,21.3,0.538,0.487,0.32,0.468,,,0.98,,,,,,,
Josh Smith,2004,ATL,17,Oak Hill Academy,SF,80.25,84.0,221,18.53,"Dec 5, 1985",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.R. Smith,2004,NO,18,St. Benedict's Prep,SG,78.75,82.0,227,18.76,"Sep 9, 1985",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorell Wright,2004,MIA,19,South Kent School,SF,79.0,,210,18.53,"Dec 2, 1985",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameer Nelson,2004,ORL,20,Saint Joseph's,PG,72.5,74.5,199,22.35,"Feb 9, 1982",USA,32.0,33.9,7.8,16.4,0.475,2.4,6.2,0.39,3.9,4.9,0.792,5.0,5.6,0.0,3.0,3.0,2.0,21.9,0.584,0.549,0.379,0.302,,,1.87,,,,,,,
Pavel Podkolzin,2004,DAL,21,Metis Varese (Italy),C,89.0,,260,19.41,"Jan 15, 1985",Russia,36.0,11.1,3.1,6.4,0.493,0.0,0.2,0.0,4.0,5.8,0.677,9.0,0.4,1.8,1.6,4.1,6.6,10.2,0.56,0.493,0.028,0.915,,,0.11,,,,,,,
Viktor Khryapa,2004,POR,22,CSKA Moscow (Russia),SF,81.0,,210,21.87,"Aug 3, 1982",Russia,20.0,17.8,3.5,7.7,0.461,1.1,4.1,0.268,2.6,3.5,0.743,6.8,2.4,2.0,1.8,1.9,4.6,10.8,0.578,0.533,0.539,0.461,,,1.26,,,,,,,
Sergei Monia,2004,POR,23,CSKA Moscow (Russia),SF,80.0,,220,21.17,"Apr 15, 1983",Russia,21.0,16.5,4.6,10.7,0.427,1.7,5.6,0.296,2.1,2.8,0.741,6.5,1.3,0.9,1.2,1.9,5.4,12.9,0.535,0.505,0.524,0.262,,,0.72,,,,,,,
Delonte West,2004,BOS,24,Saint Joseph's,SG,74.75,78.0,183,20.89,"Jul 26, 1983",USA,32.0,33.5,7.1,14.0,0.51,1.9,4.6,0.412,4.2,4.7,0.892,5.8,5.1,0.2,1.8,2.8,2.0,20.3,0.627,0.577,0.327,0.334,,,1.84,,,,,,,
Tony Allen,2004,BOS,25,Oklahoma State,SG,76.25,81.0,214,22.42,"Jan 11, 1982",USA,35.0,31.6,6.6,13.2,0.504,0.7,2.4,0.297,4.3,6.3,0.675,6.3,3.5,1.0,2.3,3.2,3.4,18.2,0.564,0.531,0.183,0.479,,,1.11,,,,,,,
