Name,Year,Draft Team,Pick,Team,Position,Height,Wingspan,Weight,Draft Age,Birthdate,Nation,G,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,STL,TO,PF,PTS,TS%,eFG%,3PAr,FTAr,USG%,AST/USG,AST/TO,PER,OWS/40,DWS/40,WS/40,OBPM,DBPM,BPM
Nikola Topić,2024,,1,Red Star (Serbia),PG,78.0,,201.0,18.86,"Aug 10, 2005",Serbia,23.0,27.8,6.8,13.7,0.498,1.5,4.8,0.306,3.7,4.2,0.878,4.2,7.2,0.2,1.2,3.0,3.9,18.8,0.599,0.551,0.35,0.305,23.92,1.44,2.4,19.85,,,,,,
Zaccharie Risacher,2024,,2,JL Bourg (France),SF,81.0,,204.0,19.2,"Apr 8, 2005",France,65.0,23.3,6.0,12.8,0.47,2.2,5.7,0.387,2.9,4.1,0.707,6.2,1.4,0.7,1.3,2.5,3.7,17.2,0.581,0.556,0.442,0.323,22.4,0.31,0.57,15.19,,,,,,
Alexandre Sarr,2024,,3,Perth (NBL),PF/C,85.0,88.25,224.0,19.15,"Apr 26, 2005",France,30.0,18.0,7.1,14.3,0.5,1.1,3.9,0.276,3.9,5.5,0.707,9.0,2.1,3.1,0.9,2.1,2.7,19.2,0.569,0.537,0.271,0.383,21.9,0.43,1.0,20.96,,,,,,
Reed Sheppard,2024,,4,Kentucky,PG/SG,75.0,75.25,182.0,19.99,"Jun 24, 2004",USA,33.0,28.9,5.3,9.9,0.536,2.8,5.4,0.521,2.0,2.5,0.831,5.1,5.6,0.9,3.1,2.5,2.4,15.5,0.699,0.679,0.548,0.247,18.0,1.34,2.24,23.6,0.126,0.059,0.188,6.4,5.0,11.4
Donovan Clingan,2024,,5,UConn,C,87.0,90.75,282.0,20.32,"Feb 23, 2004",USA,35.0,22.5,8.5,13.3,0.639,0.1,0.4,0.25,3.7,6.4,0.583,11.8,2.4,3.9,0.8,1.3,3.2,20.8,0.637,0.643,0.027,0.478,25.1,0.54,1.89,34.8,0.193,0.112,0.305,8.8,6.2,15.0
Rob Dillingham,2024,,6,Kentucky,PG,74.25,75.0,164.0,19.46,"Jan 4, 2005",USA,32.0,23.3,8.3,17.5,0.475,3.1,6.9,0.444,3.8,4.7,0.796,4.5,6.0,0.1,1.6,3.1,4.1,23.5,0.595,0.564,0.398,0.271,30.3,0.98,1.94,23.5,0.139,0.038,0.177,5.6,0.7,6.2
Stephon Castle,2024,,7,UConn,PG/SG,78.75,81.0,210.0,19.63,"Nov 1, 2004",USA,34.0,27.0,5.4,11.4,0.472,0.8,2.9,0.267,3.3,4.3,0.755,6.2,3.9,0.7,1.1,2.0,3.2,14.8,0.551,0.507,0.259,0.379,22.0,0.84,1.94,19.0,0.109,0.074,0.187,3.4,3.1,6.5
Matas Buzelis,2024,,8,G League,SF,82.0,82.0,197.0,19.68,"Oct 13, 2004",USA,34.0,30.9,6.2,13.7,0.455,1.0,3.9,0.261,1.6,2.4,0.696,7.7,2.3,2.3,1.1,2.5,2.8,16.4,0.553,0.492,0.288,0.172,21.45,0.48,0.89,13.63,,,,,,
Ron Holland,2024,,9,G League,SF/PF,79.75,82.75,197.0,18.95,"Jul 7, 2005",USA,29.0,31.9,8.1,17.5,0.46,0.9,3.7,0.24,3.2,4.4,0.728,7.5,3.3,1.0,2.6,3.6,3.6,22.0,0.56,0.486,0.213,0.253,28.05,0.58,0.9,15.79,,,,,,
Dalton Knecht,2024,,10,Tennessee,SF,78.5,81.0,212.0,23.17,"Apr 19, 2001",USA,36.0,30.6,8.6,18.9,0.458,3.0,7.7,0.397,5.2,6.7,0.772,5.8,2.1,0.8,0.8,2.0,2.1,25.5,0.578,0.538,0.406,0.357,32.7,0.41,1.07,24.4,0.135,0.073,0.207,8.5,2.8,11.3
Cody Williams,2024,,11,Colorado,SF,79.75,85.0,178.0,19.58,"Nov 20, 2004",USA,24.0,28.4,5.7,10.3,0.552,0.9,2.2,0.415,2.9,4.1,0.714,3.8,2.0,0.8,0.8,2.5,2.5,15.1,0.62,0.595,0.211,0.397,20.8,0.49,0.79,15.7,0.07,0.047,0.117,2.4,1.5,3.9
Tidjane Salaun,2024,,12,Cholet Basket (France),SF,81.0,,203.0,18.86,"Aug 10, 2005",France,54.0,23.4,5.2,12.7,0.406,2.1,6.8,0.316,2.5,3.4,0.748,6.1,1.4,0.3,1.7,2.0,3.7,15.0,0.523,0.49,0.531,0.267,21.28,0.32,0.7,13.07,,,,,,
Ja'Kobe Walter,2024,,13,Baylor,SG,77.5,82.0,198.0,19.79,"Sep 4, 2004",USA,35.0,32.3,4.6,12.2,0.376,2.4,7.0,0.341,4.6,5.8,0.792,4.9,1.6,0.3,1.2,1.5,2.3,16.2,0.541,0.474,0.574,0.478,23.4,0.35,1.06,17.1,0.106,0.042,0.149,4.6,1.2,5.8
Jared McCain,2024,,14,Duke,PG/SG,75.25,75.5,203.0,20.33,"Feb 20, 2004",USA,36.0,31.6,5.5,12.0,0.462,2.8,6.6,0.414,2.4,2.8,0.885,5.7,2.2,0.1,1.2,1.5,1.8,16.3,0.611,0.577,0.554,0.23,21.1,0.52,1.45,19.4,0.116,0.067,0.183,6.0,2.6,8.5
Isaiah Collier,2024,,15,USC,PG,75.75,76.75,205.0,19.7,"Oct 8, 2004",USA,27.0,30.0,6.9,14.0,0.49,1.2,3.6,0.338,4.7,6.9,0.673,3.5,5.1,0.3,1.8,4.0,2.8,19.6,0.567,0.533,0.255,0.497,29.7,1.04,1.29,19.3,0.069,0.04,0.109,3.2,1.0,4.2
Devin Carter,2024,,16,Providence,PG,75.5,80.75,193.0,22.26,"Mar 18, 2002",USA,33.0,35.3,6.8,14.3,0.473,2.6,6.9,0.377,4.0,5.3,0.749,8.8,3.7,1.0,1.8,2.8,1.9,20.1,0.597,0.564,0.482,0.369,28.1,0.83,1.35,25.6,0.113,0.093,0.206,7.3,5.0,12.3
Kyle Filipowski,2024,,17,Duke,C,84.0,82.5,230.0,20.62,"Nov 7, 2003",USA,36.0,30.4,7.2,14.3,0.505,1.3,3.7,0.348,3.7,5.5,0.671,9.8,3.3,1.8,1.3,2.5,3.6,19.4,0.573,0.549,0.257,0.383,27.7,0.66,1.32,26.0,0.124,0.091,0.219,6.6,4.5,11.1
Yves Missi,2024,,18,Baylor,C,84.0,86.0,229.0,20.1,"May 14, 2004",Cameroon,34.0,22.9,6.5,10.5,0.614,0.0,0.0,0.0,3.9,6.4,0.616,8.8,0.6,2.4,0.9,1.8,3.7,16.8,0.622,0.614,0.0,0.605,21.8,0.16,0.33,24.7,0.133,0.062,0.19,5.0,2.4,7.4
Tristan da Silva,2024,,19,Colorado,SF/PF,81.5,82.25,217.0,23.1,"May 15, 2001",Germany,34.0,33.8,6.2,12.5,0.492,2.0,5.1,0.395,2.7,3.2,0.835,5.4,2.6,0.6,1.2,1.9,2.1,17.0,0.606,0.572,0.405,0.258,22.5,0.6,1.34,19.8,0.108,0.056,0.163,5.0,2.2,7.1
Tyler Smith,2024,,20,G League,PF/SF,82.25,85.0,224.0,19.63,"Nov 2, 2004",USA,43.0,22.2,8.0,16.8,0.48,2.2,6.1,0.36,2.3,3.1,0.732,8.3,2.2,1.5,1.3,2.0,4.3,22.3,0.612,0.545,0.363,0.185,24.6,0.43,1.06,18.46,,,,,,
